title,url,category
Trump says non-US movies to be hit with 100% tariffs,https://www.bbc.com/news/articles/cjr7e2z1rxyo,Business
Elon Musk's Starbase in Texas will officially become a city,https://www.bbc.com/news/articles/c39j8rj4nmmo,Business
"Warren Buffett, 94, stepping down as Berkshire Hathaway CEO",https://www.bbc.com/news/articles/cqj4nev7p70o,Business
Uber starts allowing customers to pay in cash,https://www.bbc.com/news/articles/c4g4le9n469o,Business
Elon Musk's Starbase in Texas will officially become a city,https://www.bbc.com/news/articles/c39j8rj4nmmo,Business
How Carney's election win will change direction of trade war,https://www.bbc.com/news/articles/cgjlqwxevd0o,Business
London's 'spiralling' housing crisis in numbers,https://www.bbc.com/news/articles/cgkg54nd5d5o,Business
Are alcohol-free drinks worth the price in 2025?,https://www.bbc.com/news/articles/cdxg8l0qnevo,Business
Colombia's wind farms bring promise and pain for indigenous group,https://www.bbc.com/news/articles/ckg2ekjjgldo,Business
Deported gang members get second chance at call centre,https://www.bbc.com/news/articles/c93g2e332d9o,Business
Wall Street stocks bounce back from Trump tariff losses,https://www.bbc.com/news/articles/cj0z65dq771o,Business
Tariffs on car parts entering the US come into force,https://www.bbc.com/news/articles/c4grdke5r1jo,Business
US court rules ex-Abercrombie CEO unfit for trial,https://www.bbc.com/news/articles/cp31nknxgwlo,Business
US jobs grow by more than expected despite tariff turmoil,https://www.bbc.com/news/articles/c4grd0wqy22o,Business
Temu to stop selling goods from China directly to US customers,https://www.bbc.com/news/articles/cwy79j2n7d4o,Business
M&S supplier resorts to pen and paper after cyber attack,https://www.bbc.com/news/articles/cvgnyplvdv8o,Business
"Co-op cyber attack affects customer data, firm admits, after hackers contact BBC",https://www.bbc.com/news/articles/crkx3vy54nzo,Business
Trump signs order to block funding to public radio,https://www.bbc.com/news/articles/cly1jwe7582o,Business
Meta threatens to cut off Facebook in Nigeria over huge fines,https://www.bbc.com/news/articles/ckgrwxp5r15o,Business
Talks or no talks: Who blinks first in US-China trade war?,https://www.bbc.com/news/articles/cg419qw9g15o,Business
Apple says most US-bound iPhones no longer made in China,https://www.bbc.com/news/articles/c86jx18y9e2o,Business
M&S working 'day and night' over cyber attack,https://www.bbc.com/news/articles/cy5rz9p2d5ko,Business
Businesses count costs as India and Bangladesh impose trade restrictions,https://www.bbc.com/news/articles/c4g2y1yg8r2o,Business
What's in the US-Ukraine resources deal?,https://www.bbc.com/news/videos/c9djweng9plo,Business
McDonald's sales drop as diners face 'uncertainty',https://www.bbc.com/news/articles/cy4vzpggkjno,Business
