title,url,category,text,cluster
Incoming German Chancellor Merz vows reforms and investments as parties sign coalition agreement,https://www.cnbc.com/2025/05/05/incoming-german-chancellor-merz-vows-reforms-and-investments.html,politics,Incoming German Chancellor Merz vows reforms and investments as parties sign coalition agreement,3
NPR and PBS say they'll challenge Trump over federal funding cuts,https://www.cnbc.com/2025/05/04/npr-and-pbs-to-challenge-trump-over-public-funding-cuts.html,politics,NPR and PBS say they'll challenge Trump over federal funding cuts,3
"Trump takes credit for 'good parts' of economy, blames 'bad parts' on Biden",https://www.cnbc.com/2025/05/04/trump-economy-biden-recession-tariffs-china.html,politics,"Trump takes credit for 'good parts' of economy, blames 'bad parts' on Biden",3
Trump posts AI-generated photo of himself dressed as the pope,https://www.cnbc.com/2025/05/03/trump-pope-ai-image.html,politics,Trump posts AI-generated photo of himself dressed as the pope,3
Trump calls on Fed once again to lower rates after solid April jobs report,https://www.cnbc.com/2025/05/02/trump-april-jobs-report-fed-interest-rates.html,politics,Trump calls on Fed once again to lower rates after solid April jobs report,3
Trump vows to revoke Harvard's tax-exempt status: 'It's what they deserve!',https://www.cnbc.com/2025/05/02/trump-harvard-tax-exempt-revoke.html,politics,Trump vows to revoke Harvard's tax-exempt status: 'It's what they deserve!',3
"Russia's war in Ukraine 'not going to end any time soon,' JD Vance says",https://www.cnbc.com/2025/05/02/russia-war-in-ukraine-not-going-to-end-any-time-soon-jd-vance-says.html,politics,"Russia's war in Ukraine 'not going to end any time soon,' JD Vance says",3
"Farage's Reform UK Party support surges, wins closest ever by-election",https://www.cnbc.com/2025/05/02/farages-reform-uk-party-support-surges-wins-closest-ever-by-election.html,politics,"Farage's Reform UK Party support surges, wins closest ever by-election",3
Trump plans to unveil federal budget proposal on Friday,https://www.cnbc.com/2025/05/02/trump-plans-to-unveil-federal-budget-proposal-on-friday.html,politics,Trump plans to unveil federal budget proposal on Friday,3
Waltz used Signal-like at White House before ouster as national security advisor,https://www.cnbc.com/2025/05/01/trump-waltz-signal-photo-cabinet.html,politics,Waltz used Signal-like at White House before ouster as national security advisor,3
Trump to nominate national security advisor Mike Waltz as UN ambassador,https://www.cnbc.com/2025/05/01/trump-waltz-un-signal-hegseth.html,politics,Trump to nominate national security advisor Mike Waltz as UN ambassador,3
Trump national security advisor Waltz leaving post after Signal flap,https://www.cnbc.com/2025/05/01/trump-mike-waltz-signal-national-security-hegseth.html,politics,Trump national security advisor Waltz leaving post after Signal flap,3
U.S. Chamber asks Trump for tariff exclusions to 'stave off a recession',https://www.cnbc.com/2025/05/01/trump-tariffs-recession-chamber-of-commerce.html,politics,U.S. Chamber asks Trump for tariff exclusions to 'stave off a recession',3
U.S. and Ukraine sign landmark minerals deal after months of tense negotiations,https://www.cnbc.com/2025/05/01/russia-war-us-and-ukraine-sign-landmark-minerals-deal.html,politics,U.S. and Ukraine sign landmark minerals deal after months of tense negotiations,3
"Trump calls China 'chief-ripper-offer' on trade, with no sign of direct talks",https://www.cnbc.com/2025/04/30/trump-china-trade-negotiations.html,politics,"Trump calls China 'chief-ripper-offer' on trade, with no sign of direct talks",3
"White House moving 'as fast as possible' on India trade deal, Navarro says",https://www.cnbc.com/2025/04/30/trump-india-trade-deal-progress-navarro.html,politics,"White House moving 'as fast as possible' on India trade deal, Navarro says",3
"Musk bids farewell — sort of — to Trump Cabinet, claims DOGE saved $160 billion",https://www.cnbc.com/2025/04/30/elon-musk-trump-cabinet-doge-tesla.html,politics,"Musk bids farewell — sort of — to Trump Cabinet, claims DOGE saved $160 billion",3
Peter Navarro says ‘We really like where we’re at now’ after GDP drop,https://www.cnbc.com/2025/04/30/trump-trade-navarro-us-gdp-drop-tariffs-stock-market.html,politics,Peter Navarro says ‘We really like where we’re at now’ after GDP drop,3
Trump says he'll blame Biden for 2nd quarter GDP after blaming him for Q1 drop,https://www.cnbc.com/2025/04/30/trump-gdp-tariffs-biden-overhang.html,politics,Trump says he'll blame Biden for 2nd quarter GDP after blaming him for Q1 drop,3
Lars Klingbeil to become Germany's vice chancellor and finance minister: SDP,https://www.cnbc.com/2025/04/30/lars-klingbeil-to-become-german-vice-chancellor-finance-minister-sdp.html,politics,Lars Klingbeil to become Germany's vice chancellor and finance minister: SDP,3
Trump's first 100 days in photos,https://www.cnbc.com/2025/04/29/trumps-first-100-days-in-photos.html,politics,Trump's first 100 days in photos,3
