title,url,category,text,cluster
Indiana Pacers stun Cleveland Cavaliers in Game 1 despite Donovan Mitchell breaking Michael Jordan playoff record,https://edition.cnn.com/2025/05/05/sport/indiana-pacers-cleveland-cavaliers-game-1-spt-intl,Sports,Indiana Pacers stun Cleveland Cavaliers in Game 1 despite Donovan Mitchell breaking Michael Jordan playoff record,3
Four-time grand slam champion Naomi Osaka wins first title since becoming a mother,https://edition.cnn.com/2025/05/05/sport/naomi-osaka-wins-first-title-maternity-spt-intl,Sports,Four-time grand slam champion Naomi Osaka wins first title since becoming a mother,3
Scottie Sheffler ties PGA Tour record to claim first victory of 2025 at the CJ Cup Byron Nelson,https://edition.cnn.com/2025/05/05/sport/scottie-sheffler-cj-cup-byron-nelson-record-pga-tour-spt-intl,Sports,Scottie Sheffler ties PGA Tour record to claim first victory of 2025 at the CJ Cup Byron Nelson,3
Bayern Munich crowned Bundesliga champion for 33rd time after Bayer Leverkusen drew a tie against Freiburg,https://edition.cnn.com/2025/05/04/sport/bayern-munich-wins-33rd-bundesliga-spt-intl,Sports,Bayern Munich crowned Bundesliga champion for 33rd time after Bayer Leverkusen drew a tie against Freiburg,3
Katie Ledecky breaks 800m freestyle world record almost a decade after last setting it,https://edition.cnn.com/2025/05/04/sport/katie-ledecky-800m-freestyle-world-record-spt-intl,Sports,Katie Ledecky breaks 800m freestyle world record almost a decade after last setting it,3
Sovereignty wins the 151st Kentucky Derby,https://edition.cnn.com/2025/05/03/sport/sovereignty-wins-151st-kentucky-derby,Sports,Sovereignty wins the 151st Kentucky Derby,3
"Oscar Piastri dominates Miami Grand Prix to claim third-straight win, as Hamilton addresses ‘frustrating’ Ferrari team orders",https://edition.cnn.com/2025/05/05/sport/oscar-piastri-lewis-hamilton-miami-grand-prix-f1-spt-intl,Sports,"Oscar Piastri dominates Miami Grand Prix to claim third-straight win, as Hamilton addresses ‘frustrating’ Ferrari team orders",3
Aryna Sabalenka defeats Coco Gauff to win record-equaling Madrid Open title,https://edition.cnn.com/2025/05/04/sport/aryna-sabalenka-madrid-open-spt-intl,Sports,Aryna Sabalenka defeats Coco Gauff to win record-equaling Madrid Open title,3
"Nikola Jokić admits ‘energy’ has changed since Michael Malone firing, as Denver Nuggets advance in playoffs",https://edition.cnn.com/2025/05/04/sport/nikola-jokic-energy-changed-since-michael-malone-spt-intl,Sports,"Nikola Jokić admits ‘energy’ has changed since Michael Malone firing, as Denver Nuggets advance in playoffs",3
Red Sox great Roger Clemens watches son Kody hit Fenway Park home run – for the Minnesota Twins,https://edition.cnn.com/2025/05/04/sport/kody-clemens-home-run-roger-clemens-spt-intl,Sports,Red Sox great Roger Clemens watches son Kody hit Fenway Park home run – for the Minnesota Twins,3
People close to the fan who fell onto field at PNC Park share positive update,https://edition.cnn.com/2025/05/03/sport/pnc-park-fan-fall-update-spt,Sports,People close to the fan who fell onto field at PNC Park share positive update,3
Gregg Popovich steps down as San Antonio Spurs head coach and is moving to team’s front office as president,https://edition.cnn.com/2025/05/02/sport/gregg-popovich-san-antonio-spurs-spt,Sports,Gregg Popovich steps down as San Antonio Spurs head coach and is moving to team’s front office as president,3
The larger-than-life Bob Baffert is returning to the Kentucky Derby. The identity crisis he represents in racing never left.,https://edition.cnn.com/2025/05/02/sport/bob-baffert-kentucky-derby-spt,Sports,The larger-than-life Bob Baffert is returning to the Kentucky Derby. The identity crisis he represents in racing never left.,3
Teenage prodigy Andrea Kimi Antonelli becomes youngest ever driver to claim an F1 pole,https://edition.cnn.com/2025/05/03/sport/andrea-kimi-antonelli-youngest-ever-drive-f1-pole-spt-intl,Sports,Teenage prodigy Andrea Kimi Antonelli becomes youngest ever driver to claim an F1 pole,3
Rafael Nadal tells CNN exclusively that he ‘100%’ believes Jannik Sinner is innocent amid return from doping suspension,https://edition.cnn.com/2025/04/29/sport/rafael-nadal-jannik-sinner-innocent-spt-intl,Sports,Rafael Nadal tells CNN exclusively that he ‘100%’ believes Jannik Sinner is innocent amid return from doping suspension,3
"Breaking records, Olympic gold and a music debut: Mondo Duplantis talks exclusively with CNN about ‘life-changing’ year",https://edition.cnn.com/2025/05/02/sport/mondo-duplantis-pole-vault-records-olympics-spt-intl,Sports,"Breaking records, Olympic gold and a music debut: Mondo Duplantis talks exclusively with CNN about ‘life-changing’ year",3
‘I will die in there before anything happens’: Why this region of Russia produces so many MMA champions,https://edition.cnn.com/2025/04/17/sport/dagestan-mma-fighters-russia-ufc-spt-intl,Sports,‘I will die in there before anything happens’: Why this region of Russia produces so many MMA champions,3
American teenager Maya Merhige withstood thousands of jellyfish stings during a 14-hour swim across the Cook Strait,https://edition.cnn.com/2025/04/30/sport/maya-merhige-cook-strait-swim-spt-intl,Sports,American teenager Maya Merhige withstood thousands of jellyfish stings during a 14-hour swim across the Cook Strait,3
Why soccer might be Sweden’s way out of a gang crime crisis,https://edition.cnn.com/2025/04/15/sport/sweden-gang-crime-crisis-soccer-spt-intl,Sports,Why soccer might be Sweden’s way out of a gang crime crisis,3
Why more people than ever before are running marathons,https://edition.cnn.com/2025/04/26/sport/london-marathon-running-spt-intl,Sports,Why more people than ever before are running marathons,3
"European fairytale continues for Bodø/Glimt, the soccer team from inside the Arctic Circle",https://edition.cnn.com/2025/05/02/sport/bodo-glimt-tottenham-europa-league-spt-intl,Sports,"European fairytale continues for Bodø/Glimt, the soccer team from inside the Arctic Circle",3
"He was the first player ever to be drafted in the NFL, but he never played a professional game",https://edition.cnn.com/2025/04/23/sport/jay-berwanger-nfl-draft-spt,Sports,"He was the first player ever to be drafted in the NFL, but he never played a professional game",3
"Liverpool has won the Premier League again. This time, fans can finally celebrate properly",https://edition.cnn.com/2025/04/28/sport/liverpool-fans-premier-league-celebration-spt-intl,Sports,"Liverpool has won the Premier League again. This time, fans can finally celebrate properly",3
"This man salvages 70,000 golf balls from an infamous golf water hazard to earn a lucrative living",https://edition.cnn.com/2025/03/10/sport/jim-best-scuba-diver-players-championship-spt,Sports,"This man salvages 70,000 golf balls from an infamous golf water hazard to earn a lucrative living",3
,https://edition.cnn.com/2025/04/24/sport/video/soccer-sweden-gang-crisis-sirius-spt-intl,Sports,,3
,https://edition.cnn.com/2025/05/02/sport/video/mondo-duplantis-pole-vault-olympics-cnni-sports-fast,Sports,,3
,https://edition.cnn.com/2025/04/30/sport/video/nfl-star-saquon-barkley-gets-backlash-for-golfing-with-trump,Sports,,3
,https://edition.cnn.com/2025/04/27/sport/video/shedeur-sanders-nfl-draft-prank-call-coy-wire-digvid,Sports,,3
,https://edition.cnn.com/2025/04/25/sport/video/kelly-slater-surfing-laureus-lifetime-achievement-cnni-sports-fast,Sports,,3
,https://edition.cnn.com/2025/04/24/sport/video/rebeca-andrade-brazil-laureus-olympics,Sports,,3
Brazil’s Rebeca Andrade reflects on ‘goosebumps’ moment at Paris Games,https://edition.cnn.com/2025/04/24/sport/video/rebeca-andrade-brazil-laureus-olympics,Sports,Brazil’s Rebeca Andrade reflects on ‘goosebumps’ moment at Paris Games,3
,https://edition.cnn.com/2025/04/26/sport/video/katherine-legge-nascar-cnni-sports-fast,Sports,,3
NASCAR’s Katherine Legge addresses ‘disturbing’ online abuse,https://edition.cnn.com/2025/04/26/sport/video/katherine-legge-nascar-cnni-sports-fast,Sports,NASCAR’s Katherine Legge addresses ‘disturbing’ online abuse,3
,https://edition.cnn.com/2025/03/30/sport/video/riddell-adolescence-intv-fst-033012pseg1-cnni-sports-fast,Sports,,3
Psychologist on how sports can target toxic ‘manosphere’,https://edition.cnn.com/2025/03/30/sport/video/riddell-adolescence-intv-fst-033012pseg1-cnni-sports-fast,Sports,Psychologist on how sports can target toxic ‘manosphere’,3
,https://edition.cnn.com/2025/04/06/sport/video/alysa-liu-figure-skating-cnni-sports-fast,Sports,,3
