title,url,category
Liverpool,https://www.theguardian.com/football/2025/may/05/trent-alexander-arnold-announces-that-he-is-leaving-liverpool,Sports
Premier League,https://www.theguardian.com/football/2025/may/05/premier-league-10-talking-points-from-the-weekends-action,Sports
Formula One,https://www.theguardian.com/sport/2025/may/05/lewis-hamilton-ferrari-team-radio-miami-grand-prix-formula-one,Sports
…,https://www.theguardian.com/sport/live/2025/may/05/county-cricket-day-four-somerset-v-essex-hants-v-durham-middx-v-kent-and-more#comments,Sports
…,https://www.theguardian.com/sport/2025/may/05/olympic-games-athletics-wellbeing-legacy#comments,Sports
…,https://www.theguardian.com/football/2025/may/05/womens-super-league-championship-talking-points-from-weekends-action#comments,Sports
…,https://www.theguardian.com/football/2025/may/05/premier-league-motivations-incentives-liverpool-arsenal-chelsea#comments,Sports
…,https://www.theguardian.com/football/2025/may/05/internazionale-serie-a-champions-league-verona-barcelona-simone-inzaghi#comments,Sports
…,https://www.theguardian.com/football/2025/may/04/from-lamine-yamal-to-mbappe-could-team-eu-build-a-european-identity#comments,Sports
…,https://www.theguardian.com/football/2025/may/05/internazionale-serie-a-champions-league-verona-barcelona-simone-inzaghi#comments,Sports
…,https://www.theguardian.com/football/2025/may/04/brighton-newcastle-premier-league-match-report#comments,Sports
…,https://www.theguardian.com/football/2025/may/04/brentford-manchester-united-premier-league-match-report#comments,Sports
…,https://www.theguardian.com/football/2025/may/04/west-ham-tottenham-premier-league-match-report#comments,Sports
…,https://www.theguardian.com/sport/2025/may/02/bbc-twos-chess-masters-the-endgame-divides-opinions-as-winner-is-crowned#comments,Sports
…,https://www.theguardian.com/sport/2025/apr/30/hats-off-to-the-county-cap-the-players-headwear-with-a-mystical-symbolism-cricket#comments,Sports
…,https://www.theguardian.com/sport/99-94-cricket-blog/2025/apr/29/county-cricket-talking-points-notts-surrey-sussex-division-one#comments,Sports
…,https://www.theguardian.com/football/picture/2025/apr/29/david-squires-on-liverpool-20th-league-title-arne-slot-hard-to-please-people#comments,Sports
…,https://www.theguardian.com/football/2025/apr/29/quiet-rise-of-rookies-shows-benefit-nwsl-decision-ditch-draft#comments,Sports
…,https://www.theguardian.com/sport/2025/apr/21/rory-mcilroy-john-mcenroe-roger-federer-harriet-dart-emotion-performance-elite-sport#comments,Sports
Zhao Xintong beats Mark Williams 18-12 to become China’s first world snooker champion – as it happened,https://www.theguardian.com/sport/live/2025/may/05/zhao-xintong-v-mark-williams-world-snooker-championship-final-live,Sports
Zhao Xintong beats Mark Williams to become China’s first snooker world champion,https://www.theguardian.com/sport/2025/may/05/zhao-xintong-beats-mark-williams-to-become-first-chinese-snooker-world-champion,Sports
A $15m jockeys racing league would relegate real stars to supporting role,https://www.theguardian.com/sport/blog/2025/may/05/a-15m-jockeys-racing-league-would-relegate-real-stars-to-supporting-role,Sports
Maro Itoje’s chance of Lions captaincy grows with Caelan Doris set for surgery,https://www.theguardian.com/sport/2025/may/05/lions-ireland-captain-caelan-doris-operation-shoulder-injury-rugby-union,Sports
Jochen Mass obituary,https://www.theguardian.com/sport/2025/may/05/jochen-mass-obituary,Sports
Jannik Sinner sets low expectations as he returns from doping ban at Italian Open,https://www.theguardian.com/sport/2025/may/05/jannik-sinner-setting-low-expectations-as-he-returns-from-doping-ban-at-italian-open,Sports
Norris aggression backed by McLaren despite it proving costly in Miami,https://www.theguardian.com/sport/2025/may/05/norris-aggression-backed-by-mclaren-despite-it-proving-costly-in-miami,Sports
